,City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,mataura,NZ,-46.19,168.86,29.83,81.0,8.0,2.57
1,jamestown,AU,-33.21,138.6,50.08,100.0,88.0,13.31
5,wucheng,CN,29.09,119.57,74.47,85.0,68.0,2.13
6,barrow,AR,-38.31,-60.23,51.7,49.0,80.0,15.43
7,great falls,US,47.5,-111.29,69.98,29.0,1.0,21.92
8,ushuaia,AR,-54.81,-68.31,41.0,69.0,75.0,21.92
9,camacha,PT,33.08,-16.33,77.0,69.0,40.0,20.8
11,tiksi,RU,71.64,128.87,57.01,67.0,48.0,15.88
12,new norfolk,AU,-42.78,147.06,48.2,81.0,92.0,6.93
13,lebu,ET,8.96,38.73,62.6,77.0,75.0,4.7
14,gravdal,NO,59.79,5.78,59.0,67.0,20.0,14.99
16,northam,GB,51.04,-4.21,64.4,55.0,20.0,6.93
17,hasaki,JP,35.73,140.83,78.8,88.0,75.0,4.7
18,sao filipe,CV,14.9,-24.5,79.06,98.0,56.0,12.86
19,punta arenas,CL,-53.16,-70.91,42.8,93.0,40.0,21.92
21,sistranda,NO,63.73,8.83,53.6,81.0,75.0,13.87
22,cap-aux-meules,CA,47.38,-61.86,64.4,82.0,90.0,24.16
23,upernavik,GL,72.79,-56.15,36.85,100.0,64.0,14.99
24,port hardy,CA,50.7,-127.42,55.4,93.0,40.0,2.24
25,labuhan,ID,-2.54,115.51,72.4,93.0,36.0,1.79
26,katsuura,JP,33.93,134.5,76.45,94.0,64.0,3.47
27,east london,ZA,-33.02,27.91,64.4,88.0,20.0,6.93
30,albany,US,42.65,-73.75,80.06,64.0,75.0,8.05
31,rikitea,PF,-23.12,-134.97,67.0,100.0,92.0,15.43
32,bathsheba,BB,13.22,-59.52,86.0,70.0,40.0,19.46
34,kenora,CA,49.76,-94.48,69.8,73.0,1.0,18.34
35,kapaa,US,22.08,-159.32,77.0,79.0,40.0,14.99
36,xichang,CN,27.88,102.25,58.99,87.0,56.0,1.23
37,victoria,BN,5.28,115.24,82.4,94.0,75.0,5.93
41,kavieng,PG,-2.57,150.8,80.95,100.0,88.0,7.38
42,bubaque,GW,11.28,-15.83,77.0,88.0,40.0,14.99
43,bayan,MN,47.25,107.54,49.63,83.0,80.0,4.36
44,warrington,GB,53.39,-2.59,64.4,48.0,20.0,1.12
45,tasiilaq,GL,65.61,-37.64,42.8,70.0,92.0,56.93
46,vao,EE,59.1,26.19,61.69,91.0,92.0,2.13
47,nongan,CN,44.43,125.17,60.8,87.0,40.0,2.24
48,ilulissat,GL,69.22,-51.1,37.4,97.0,75.0,5.82
49,butaritari,KI,3.07,172.79,83.29,100.0,88.0,3.36
50,padang,ID,-0.92,100.36,76.45,100.0,76.0,5.59
52,hilo,US,19.71,-155.08,73.94,84.0,20.0,8.05
53,klaksvik,FO,62.23,-6.59,51.8,76.0,68.0,10.29
55,evinayong,GQ,1.44,10.55,72.31,97.0,88.0,2.46
57,san jose,PH,15.79,120.99,70.6,100.0,48.0,1.79
59,nikolskoye,RU,59.7,30.79,64.4,82.0,20.0,4.47
62,beringovskiy,RU,63.05,179.32,49.36,98.0,32.0,20.92
65,hobart,AU,-42.88,147.33,48.2,81.0,92.0,6.93
66,busselton,AU,-33.64,115.35,53.95,100.0,76.0,9.73
67,khatanga,RU,71.98,102.47,36.49,69.0,76.0,17.67
68,jamame,SO,0.07,42.75,75.91,77.0,92.0,14.09
69,hithadhoo,MV,-0.6,73.08,83.29,100.0,48.0,1.12
70,shreveport,US,32.52,-93.77,87.98,63.0,1.0,3.36
71,georgetown,GY,6.8,-58.16,89.6,55.0,75.0,6.93
72,tuktoyaktuk,CA,69.44,-133.03,42.8,93.0,90.0,11.41
74,cidreira,BR,-30.17,-50.22,78.16,73.0,48.0,6.93
77,longyearbyen,NO,78.22,15.63,42.8,81.0,75.0,33.33
78,turhal,TR,40.38,36.08,75.2,60.0,20.0,16.11
79,havoysund,NO,71.0,24.66,51.8,87.0,75.0,4.7
80,vryburg,ZA,-26.96,24.73,66.55,24.0,36.0,10.63
81,mahebourg,MU,-20.41,57.7,71.6,64.0,40.0,10.29
82,bulolo,PG,-7.2,146.64,61.24,99.0,92.0,0.56
84,ngunguru,NZ,-35.62,174.5,56.11,100.0,36.0,12.86
85,lorengau,PG,-2.02,147.27,80.86,100.0,76.0,5.37
87,santa fe,AR,-31.62,-60.7,68.26,69.0,92.0,17.9
88,vaini,IN,15.34,74.49,68.89,99.0,92.0,5.82
89,ustupo,PA,9.13,-77.93,84.91,77.0,56.0,2.91
92,almaznyy,RU,48.03,40.04,74.56,49.0,24.0,4.59
95,torbay,CA,47.66,-52.73,60.8,67.0,75.0,19.46
96,katav-ivanovsk,RU,54.75,58.21,53.5,96.0,8.0,3.69
98,cururupu,BR,-1.82,-44.87,85.27,80.0,8.0,7.83
100,laguna,MX,27.52,-110.01,87.8,62.0,75.0,6.93
101,tibirita,CO,5.05,-73.5,73.66,78.0,56.0,2.35
103,erenhot,CN,43.65,111.97,55.03,58.0,8.0,9.73
104,aguia branca,BR,-18.98,-40.74,71.32,84.0,68.0,4.36
105,dikson,RU,73.51,80.55,40.9,100.0,64.0,10.4
108,esperance,TT,10.24,-61.45,89.6,66.0,75.0,12.75
109,kolosovka,RU,56.47,73.61,53.23,100.0,92.0,20.8
110,pitimbu,BR,-7.47,-34.81,82.4,58.0,40.0,17.22
112,agnibilekrou,CI,7.13,-3.2,78.25,84.0,48.0,5.14
113,baykit,RU,61.68,96.39,50.53,83.0,76.0,6.93
114,kiknur,RU,57.3,47.21,63.49,72.0,8.0,10.4
116,kimbe,PG,-5.56,150.15,76.54,100.0,64.0,3.58
117,manoel urbano,BR,-8.84,-69.26,96.25,39.0,12.0,2.91
118,goderich,CA,43.74,-81.71,67.18,96.0,8.0,7.94
119,ponta do sol,BR,-20.63,-46.0,79.15,42.0,24.0,6.6
120,yenagoa,NG,4.92,6.26,75.01,94.0,88.0,8.28
124,umm kaddadah,SD,13.6,26.69,87.25,36.0,44.0,7.72
125,lufkin,US,31.34,-94.73,91.4,57.0,20.0,5.82
126,freeport,BS,26.54,-78.7,89.6,66.0,40.0,9.17
128,general bravo,MX,25.79,-99.18,94.72,47.0,20.0,10.74
129,hofn,IS,64.25,-15.21,50.0,31.0,20.0,10.29
130,avarua,CK,-21.21,-159.78,69.8,64.0,20.0,17.22
131,san juan de flores,HN,14.27,-87.03,77.0,57.0,75.0,6.93
134,sola,NO,58.89,5.65,59.0,62.0,20.0,19.46
135,faanui,PF,-16.48,-151.75,78.25,100.0,48.0,27.85
136,saint george,GR,39.45,22.34,82.4,58.0,20.0,4.7
137,de-kastri,RU,51.48,140.77,56.92,100.0,92.0,6.26
140,kysyl-syr,RU,63.9,122.77,59.98,79.0,100.0,8.61
141,baghmara,IN,23.8,86.21,75.64,99.0,88.0,3.8
142,brae,GB,60.4,-1.35,57.2,62.0,20.0,9.17
143,oranjestad,AW,12.52,-70.03,89.6,62.0,20.0,19.46
145,norman wells,CA,65.28,-126.83,46.4,81.0,20.0,5.82
147,waipawa,NZ,-39.94,176.59,49.63,95.0,92.0,9.62
148,hambantota,LK,6.12,81.12,80.59,96.0,12.0,16.44
150,orchard homes,US,46.86,-114.05,57.02,64.0,1.0,2.46
151,fremont,US,37.55,-121.99,68.0,63.0,90.0,4.7
153,port macquarie,AU,-31.43,152.91,42.8,93.0,20.0,9.84
156,xining,CN,36.62,101.77,56.2,98.0,92.0,1.68
157,san cristobal,EC,-0.39,-78.55,60.8,51.0,75.0,20.8
158,lata,IN,30.78,78.62,59.71,100.0,80.0,1.12
161,shimoda,JP,34.7,138.93,80.95,94.0,8.0,21.7
163,ketchikan,US,55.34,-131.65,57.92,86.0,75.0,11.41
164,aripuana,BR,-9.17,-60.63,95.17,43.0,20.0,3.13
165,fatehabad,IN,27.03,78.3,81.58,95.0,92.0,4.59
168,iqaluit,CA,63.75,-68.52,44.6,56.0,75.0,21.92
170,roald,NO,62.58,6.12,57.2,67.0,20.0,5.82
171,bambous virieux,MU,-20.34,57.76,71.6,64.0,40.0,10.29
172,chuy,UY,-33.69,-53.46,60.52,100.0,76.0,15.66
173,yellowknife,CA,62.45,-114.38,53.6,62.0,75.0,3.36
174,primero de enero,CU,21.94,-78.43,80.6,88.0,75.0,2.24
175,vadamadurai,IN,10.47,78.08,70.6,94.0,68.0,2.01
176,nome,US,30.04,-94.42,89.96,59.0,75.0,10.29
177,sagua la grande,CU,22.81,-80.07,86.0,66.0,75.0,11.41
178,bethel,US,60.79,-161.76,48.92,92.0,90.0,24.16
180,port elizabeth,US,39.31,-74.98,91.04,51.0,20.0,11.41
181,te anau,NZ,-45.41,167.72,39.55,93.0,76.0,1.79
182,karia,NG,11.73,11.16,79.15,84.0,48.0,1.79
183,saint-philippe,CA,45.36,-73.48,64.58,68.0,90.0,6.93
184,puerto ayora,EC,-0.74,-90.35,78.8,57.0,40.0,16.11
185,manado,ID,1.49,124.85,75.2,94.0,20.0,4.7
187,bulgan,MN,48.81,103.53,55.39,98.0,92.0,2.8
189,fort nelson,CA,58.81,-122.69,44.6,93.0,75.0,4.7
190,liku,ID,-0.73,119.89,77.71,98.0,68.0,3.69
191,pokhara,NP,28.21,83.99,61.33,90.0,92.0,3.36
192,ucluelet,CA,48.94,-125.55,57.2,100.0,75.0,6.93
193,thompson,CA,55.74,-97.86,55.4,82.0,90.0,4.7
197,san andres,PH,13.32,122.68,83.11,100.0,8.0,9.62
200,melita,CA,49.27,-100.98,82.21,41.0,8.0,16.67
201,varkaus,FI,62.32,27.87,60.8,87.0,90.0,2.24
203,alofi,NU,-19.06,-169.92,73.4,83.0,44.0,11.41
204,hattiesburg,US,31.33,-89.29,86.0,74.0,1.0,6.93
206,yashkul,RU,46.17,45.34,80.14,38.0,80.0,16.33
207,brumado,BR,-14.2,-41.67,77.98,51.0,24.0,12.64
208,mount pleasant,US,33.16,-94.97,90.5,50.0,1.0,4.03
210,ankara,TR,39.92,32.85,82.4,36.0,40.0,3.36
211,rio grande,BR,-32.03,-52.1,68.0,77.0,75.0,9.17
212,pasni,PK,25.26,63.48,79.6,98.0,8.0,14.09
216,kaura namoda,NG,12.59,6.58,77.44,82.0,76.0,3.91
217,am timan,TD,11.04,20.28,79.15,68.0,32.0,3.24
220,pisco,PE,-13.71,-76.2,71.6,30.0,90.0,8.05
221,ewa beach,US,21.32,-158.01,78.98,73.0,1.0,4.7
222,faya,SA,18.39,42.45,77.0,88.0,20.0,9.17
223,point fortin,TT,10.16,-61.68,89.6,66.0,75.0,12.75
224,saint anthony,US,43.97,-111.68,71.06,34.0,1.0,3.36
225,jumla,NP,29.28,82.18,38.29,92.0,92.0,2.91
226,sitka,US,37.17,-99.65,95.44,36.0,8.0,13.98
227,mago,RU,53.27,140.15,53.77,100.0,92.0,8.95
228,tongren,CN,27.72,109.18,71.14,99.0,80.0,2.57
229,bredasdorp,ZA,-34.53,20.04,62.6,88.0,32.0,5.82
231,tautira,PF,-17.73,-149.15,71.6,88.0,40.0,3.36
232,nabire,ID,-3.36,135.5,65.65,96.0,76.0,1.45
234,svetlogorsk,RU,53.14,59.15,60.8,63.0,20.0,8.95
237,wakkanai,JP,45.41,141.67,63.13,100.0,100.0,7.38
240,amga,RU,60.89,131.98,48.91,95.0,12.0,3.02
241,carnarvon,ZA,-30.97,22.13,56.2,25.0,36.0,6.38
242,buala,SB,-8.15,159.59,80.41,93.0,32.0,7.94
243,barguzin,RU,53.62,109.63,54.31,99.0,92.0,2.13
245,bilma,NE,18.69,12.92,89.41,33.0,32.0,4.14
247,springbok,ZA,-29.67,17.88,58.63,34.0,64.0,4.03
249,linxia,CN,35.6,103.21,56.56,100.0,88.0,2.68
250,aberdeen,US,45.47,-98.49,75.92,62.0,75.0,23.04
252,ugoofaaru,MV,5.67,73.0,83.02,100.0,92.0,12.41
254,port lincoln,AU,-34.72,135.86,54.76,100.0,76.0,18.79
256,bom jesus,BR,-5.99,-35.58,84.2,51.0,20.0,24.16
258,turukhansk,RU,65.8,87.96,44.5,78.0,92.0,18.57
259,finnsnes,NO,69.23,17.98,55.4,62.0,40.0,6.93
260,geraldton,CA,49.72,-86.95,64.4,63.0,20.0,13.87
261,margate,AU,-43.03,147.26,48.2,81.0,92.0,6.93
262,cranbrook,CA,49.51,-115.76,57.2,71.0,40.0,10.29
263,necochea,AR,-38.55,-58.74,50.17,64.0,68.0,15.32
265,namibe,AO,-15.19,12.15,65.65,99.0,76.0,9.17
266,zacatecoluca,SV,13.51,-88.87,89.6,70.0,20.0,5.82
268,waingapu,ID,-9.65,120.26,71.05,100.0,80.0,3.69
269,liseleje,DK,56.01,11.96,60.8,93.0,92.0,9.17
271,annapolis,US,38.98,-76.49,89.96,51.0,1.0,4.7
272,nuevo progreso,US,26.05,-97.95,95.54,39.0,40.0,6.93
274,bayonne,US,40.67,-74.11,89.96,47.0,40.0,5.59
275,katherine,AU,-14.47,132.26,73.4,73.0,40.0,6.93
276,pangkalanbuun,ID,-2.68,111.62,75.73,78.0,64.0,5.37
277,leon valley,US,29.5,-98.62,93.2,43.0,40.0,9.17
278,qingquan,TW,24.58,121.1,78.8,88.0,75.0,4.7
279,obo,CF,5.39,26.49,68.08,98.0,80.0,3.91
280,samarai,PG,-10.62,150.67,74.38,100.0,92.0,3.13
281,denpasar,ID,-8.65,115.22,77.0,88.0,20.0,10.29
282,colquechaca,BO,-18.7,-66.0,56.92,50.0,48.0,3.02
283,dingle,PH,11.0,122.67,72.49,95.0,64.0,1.79
285,lompoc,US,34.64,-120.46,73.94,67.0,20.0,4.7
287,bulungu,CD,-4.54,18.6,77.8,82.0,8.0,3.36
288,kodiak,US,39.95,-94.76,75.02,81.0,75.0,11.41
289,biltine,TD,14.53,20.93,84.73,41.0,36.0,5.7
290,quatre cocos,MU,-20.21,57.76,71.6,64.0,40.0,10.29
292,san quintin,PH,17.54,120.52,70.51,88.0,36.0,3.69
293,kazerun,IR,29.62,51.65,85.18,38.0,48.0,3.36
294,airai,TL,-8.93,125.41,67.27,95.0,100.0,1.9
295,lakes entrance,AU,-37.88,147.99,48.73,87.0,92.0,9.17
296,naze,NG,5.43,7.07,75.2,100.0,75.0,6.93
299,clyde river,CA,70.47,-68.59,41.0,80.0,40.0,19.46
300,manokwari,ID,-0.87,134.08,79.96,100.0,64.0,3.36
302,vysokogornyy,RU,50.1,139.13,52.24,99.0,92.0,2.46
303,sabla,NG,12.75,4.71,82.57,88.0,32.0,5.26
304,cabo san lucas,MX,22.89,-109.91,87.8,70.0,40.0,6.93
307,nikolayevka,RU,46.73,38.57,78.43,65.0,24.0,9.4
309,kabelvag,NO,68.21,14.48,53.6,81.0,75.0,20.8
310,basco,US,40.33,-91.2,75.2,69.0,90.0,5.82
311,mudgee,AU,-32.6,149.59,41.62,67.0,36.0,10.63
312,kruisfontein,ZA,-34.0,24.73,64.48,86.0,56.0,11.18
317,aguadilla,PR,18.43,-67.15,80.6,74.0,40.0,14.99
318,ribeira grande,PT,38.52,-28.7,78.8,78.0,40.0,10.29
320,tuatapere,NZ,-46.13,167.69,41.53,100.0,8.0,5.14
321,strzelce krajenskie,PL,52.88,15.53,64.3,86.0,88.0,13.65
324,iralaya,HN,15.0,-83.23,87.8,70.0,40.0,10.07
325,eureka,US,40.8,-124.16,59.0,89.0,90.0,6.93
326,linjiang,CN,41.81,126.91,57.1,98.0,76.0,2.35
329,praya,ID,-8.71,116.27,75.2,83.0,20.0,4.7
330,srednekolymsk,RU,67.46,153.71,41.26,74.0,12.0,3.58
331,venustiano carranza,MX,19.42,-99.11,71.6,52.0,75.0,1.79
335,juneau,US,58.3,-134.42,57.02,93.0,90.0,5.82
336,chamba,IN,32.56,76.12,63.94,90.0,80.0,0.67
338,russkiy kameshkir,RU,52.86,46.09,70.51,35.0,68.0,8.72
340,iberia,PE,-11.41,-69.49,93.73,43.0,44.0,3.02
343,kirakira,SB,-10.46,161.92,80.95,100.0,76.0,16.55
344,vytegra,RU,61.01,36.45,69.07,71.0,24.0,14.32
347,magugu,TZ,-4.02,35.77,68.8,55.0,92.0,9.95
348,hay river,CA,60.82,-115.79,55.4,71.0,90.0,3.36
349,mayo,CA,63.59,-135.9,37.4,93.0,90.0,4.7
350,kahului,US,20.89,-156.47,91.4,81.0,40.0,10.29
352,kiama,AU,-34.67,150.86,46.4,81.0,68.0,1.12
353,biak,ID,-0.91,122.88,76.0,97.0,80.0,4.36
354,jauharabad,PK,32.29,72.28,81.76,68.0,8.0,5.37
355,bahua,IN,25.85,80.63,75.28,98.0,80.0,5.14
356,tubuala,PA,9.52,-79.03,77.0,94.0,75.0,3.36
357,tezu,IN,27.93,96.16,67.9,98.0,48.0,1.45
358,baie-comeau,CA,49.22,-68.15,64.4,48.0,20.0,10.29
359,bonavista,CA,48.65,-53.11,59.98,90.0,92.0,20.24
360,bom jardim,BR,-7.8,-35.59,80.6,51.0,75.0,14.99
361,krasnyy chikoy,RU,50.36,108.75,50.08,92.0,12.0,2.01
362,mahibadhoo,MV,3.78,72.97,83.56,100.0,92.0,10.74
364,syracuse,US,43.05,-76.15,75.92,75.0,75.0,11.41
365,walvis bay,NA,-22.95,14.51,56.56,100.0,12.0,2.57
368,canico,PT,32.63,-16.85,77.0,61.0,40.0,17.22
370,buchanan,LR,5.88,-10.05,80.6,83.0,75.0,11.41
371,houma,CN,35.63,111.36,70.15,80.0,20.0,4.14
374,ahipara,NZ,-35.17,173.16,52.6,98.0,88.0,9.28
